s (1,1) 45
s (2,1) 27
s (3,1) 46
s (4,1) 45
s (5,1) 2
(1,1) (1,2) 40
(2,1) (2,2) 13
(3,1) (3,2) 29
(4,1) (4,2) 25
(5,1) (5,2) 30
(1,2) (1,3) 9
(2,2) (2,3) 26
(3,2) (3,3) 3
(4,2) (4,3) 11
(5,2) (5,3) 15
(1,3) (1,4) 27
(2,3) (2,4) 15
(3,3) (3,4) 7
(4,3) (4,4) 11
(5,3) (5,4) 7
(1,4) (1,5) 39
(2,4) (2,5) 37
(3,4) (3,5) 26
(4,4) (4,5) 35
(5,4) (5,5) 37
(1,5) (1,6) 32
(2,5) (2,6) 6
(3,5) (3,6) 25
(4,5) (4,6) 15
(5,5) (5,6) 42
(1,6) (1,7) 43
(2,6) (2,7) 50
(3,6) (3,7) 11
(4,6) (4,7) 27
(5,6) (5,7) 3
(1,7) (1,8) 9
(2,7) (2,8) 5
(3,7) (3,8) 25
(4,7) (4,8) 47
(5,7) (5,8) 28
(1,8) (1,9) 29
(2,8) (2,9) 37
(3,8) (3,9) 1
(4,8) (4,9) 8
(5,8) (5,9) 38
(1,9) (1,10) 12
(2,9) (2,10) 40
(3,9) (3,10) 21
(4,9) (4,10) 32
(5,9) (5,10) 20
(1,10) (1,11) 43
(2,10) (2,11) 27
(3,10) (3,11) 32
(4,10) (4,11) 40
(5,10) (5,11) 17
(1,11) (1,12) 18
(2,11) (2,12) 45
(3,11) (3,12) 46
(4,11) (4,12) 42
(5,11) (5,12) 11
(1,12) (1,13) 46
(2,12) (2,13) 12
(3,12) (3,13) 19
(4,12) (4,13) 33
(5,12) (5,13) 19
(1,13) (1,14) 32
(2,13) (2,14) 11
(3,13) (3,14) 8
(4,13) (4,14) 24
(5,13) (5,14) 20
(1,14) (1,15) 27
(2,14) (2,15) 41
(3,14) (3,15) 44
(4,14) (4,15) 10
(5,14) (5,15) 24
(1,15) (1,16) 19
(2,15) (2,16) 16
(3,15) (3,16) 18
(4,15) (4,16) 47
(5,15) (5,16) 39
(1,16) (1,17) 22
(2,16) (2,17) 2
(3,16) (3,17) 2
(4,16) (4,17) 29
(5,16) (5,17) 3
(1,17) (1,18) 30
(2,17) (2,18) 23
(3,17) (3,18) 21
(4,17) (4,18) 29
(5,17) (5,18) 11
(1,18) (1,19) 35
(2,18) (2,19) 23
(3,18) (3,19) 9
(4,18) (4,19) 41
(5,18) (5,19) 38
(1,19) (1,20) 32
(2,19) (2,20) 39
(3,19) (3,20) 16
(4,19) (4,20) 2
(5,19) (5,20) 13
(1,20) (1,21) 36
(2,20) (2,21) 15
(3,20) (3,21) 17
(4,20) (4,21) 17
(5,20) (5,21) 38
(1,21) (1,22) 43
(2,21) (2,22) 50
(3,21) (3,22) 23
(4,21) (4,22) 20
(5,21) (5,22) 26
(1,22) (1,23) 10
(2,22) (2,23) 13
(3,22) (3,23) 17
(4,22) (4,23) 30
(5,22) (5,23) 16
(1,23) (1,24) 33
(2,23) (2,24) 44
(3,23) (3,24) 3
(4,23) (4,24) 27
(5,23) (5,24) 18
(1,24) (1,25) 11
(2,24) (2,25) 36
(3,24) (3,25) 23
(4,24) (4,25) 7
(5,24) (5,25) 45
(1,1) (2,1) 40
(2,1) (1,1) 47
(2,1) (3,1) 47
(3,1) (2,1) 17
(3,1) (4,1) 17
(4,1) (3,1) 47
(4,1) (5,1) 9
(5,1) (4,1) 28
(1,2) (2,2) 28
(2,2) (1,2) 49
(2,2) (3,2) 4
(3,2) (2,2) 4
(3,2) (4,2) 40
(4,2) (3,2) 10
(4,2) (5,2) 24
(5,2) (4,2) 12
(1,3) (2,3) 5
(2,3) (1,3) 6
(2,3) (3,3) 40
(3,3) (2,3) 1
(3,3) (4,3) 2
(4,3) (3,3) 42
(4,3) (5,3) 4
(5,3) (4,3) 33
(1,4) (2,4) 24
(2,4) (1,4) 8
(2,4) (3,4) 41
(3,4) (2,4) 46
(3,4) (4,4) 45
(4,4) (3,4) 42
(4,4) (5,4) 40
(5,4) (4,4) 35
(1,5) (2,5) 12
(2,5) (1,5) 39
(2,5) (3,5) 45
(3,5) (2,5) 49
(3,5) (4,5) 38
(4,5) (3,5) 47
(4,5) (5,5) 35
(5,5) (4,5) 22
(1,6) (2,6) 16
(2,6) (1,6) 34
(2,6) (3,6) 34
(3,6) (2,6) 46
(3,6) (4,6) 42
(4,6) (3,6) 8
(4,6) (5,6) 46
(5,6) (4,6) 49
(1,7) (2,7) 3
(2,7) (1,7) 39
(2,7) (3,7) 2
(3,7) (2,7) 15
(3,7) (4,7) 22
(4,7) (3,7) 38
(4,7) (5,7) 19
(5,7) (4,7) 46
(1,8) (2,8) 10
(2,8) (1,8) 42
(2,8) (3,8) 12
(3,8) (2,8) 29
(3,8) (4,8) 14
(4,8) (3,8) 1
(4,8) (5,8) 1
(5,8) (4,8) 33
(1,9) (2,9) 36
(2,9) (1,9) 43
(2,9) (3,9) 10
(3,9) (2,9) 29
(3,9) (4,9) 16
(4,9) (3,9) 2
(4,9) (5,9) 42
(5,9) (4,9) 6
(1,10) (2,10) 8
(2,10) (1,10) 21
(2,10) (3,10) 26
(3,10) (2,10) 50
(3,10) (4,10) 37
(4,10) (3,10) 37
(4,10) (5,10) 2
(5,10) (4,10) 6
(1,11) (2,11) 17
(2,11) (1,11) 14
(2,11) (3,11) 19
(3,11) (2,11) 1
(3,11) (4,11) 33
(4,11) (3,11) 32
(4,11) (5,11) 7
(5,11) (4,11) 21
(1,12) (2,12) 38
(2,12) (1,12) 36
(2,12) (3,12) 13
(3,12) (2,12) 24
(3,12) (4,12) 47
(4,12) (3,12) 38
(4,12) (5,12) 45
(5,12) (4,12) 46
(1,13) (2,13) 29
(2,13) (1,13) 16
(2,13) (3,13) 20
(3,13) (2,13) 44
(3,13) (4,13) 35
(4,13) (3,13) 45
(4,13) (5,13) 8
(5,13) (4,13) 26
(1,14) (2,14) 5
(2,14) (1,14) 13
(2,14) (3,14) 31
(3,14) (2,14) 41
(3,14) (4,14) 5
(4,14) (3,14) 6
(4,14) (5,14) 28
(5,14) (4,14) 13
(1,15) (2,15) 46
(2,15) (1,15) 33
(2,15) (3,15) 5
(3,15) (2,15) 9
(3,15) (4,15) 29
(4,15) (3,15) 36
(4,15) (5,15) 23
(5,15) (4,15) 32
(1,16) (2,16) 20
(2,16) (1,16) 18
(2,16) (3,16) 8
(3,16) (2,16) 15
(3,16) (4,16) 14
(4,16) (3,16) 28
(4,16) (5,16) 45
(5,16) (4,16) 29
(1,17) (2,17) 3
(2,17) (1,17) 27
(2,17) (3,17) 9
(3,17) (2,17) 46
(3,17) (4,17) 45
(4,17) (3,17) 20
(4,17) (5,17) 36
(5,17) (4,17) 49
(1,18) (2,18) 38
(2,18) (1,18) 29
(2,18) (3,18) 43
(3,18) (2,18) 34
(3,18) (4,18) 5
(4,18) (3,18) 15
(4,18) (5,18) 43
(5,18) (4,18) 13
(1,19) (2,19) 22
(2,19) (1,19) 45
(2,19) (3,19) 37
(3,19) (2,19) 17
(3,19) (4,19) 30
(4,19) (3,19) 47
(4,19) (5,19) 40
(5,19) (4,19) 38
(1,20) (2,20) 32
(2,20) (1,20) 9
(2,20) (3,20) 22
(3,20) (2,20) 46
(3,20) (4,20) 16
(4,20) (3,20) 40
(4,20) (5,20) 37
(5,20) (4,20) 24
(1,21) (2,21) 6
(2,21) (1,21) 47
(2,21) (3,21) 44
(3,21) (2,21) 45
(3,21) (4,21) 38
(4,21) (3,21) 20
(4,21) (5,21) 1
(5,21) (4,21) 9
(1,22) (2,22) 19
(2,22) (1,22) 42
(2,22) (3,22) 15
(3,22) (2,22) 13
(3,22) (4,22) 25
(4,22) (3,22) 49
(4,22) (5,22) 38
(5,22) (4,22) 30
(1,23) (2,23) 50
(2,23) (1,23) 10
(2,23) (3,23) 43
(3,23) (2,23) 39
(3,23) (4,23) 20
(4,23) (3,23) 15
(4,23) (5,23) 42
(5,23) (4,23) 2
(1,24) (2,24) 1
(2,24) (1,24) 37
(2,24) (3,24) 31
(3,24) (2,24) 20
(3,24) (4,24) 12
(4,24) (3,24) 24
(4,24) (5,24) 40
(5,24) (4,24) 5
(1,25) (2,25) 43
(2,25) (1,25) 31
(2,25) (3,25) 27
(3,25) (2,25) 40
(3,25) (4,25) 18
(4,25) (3,25) 15
(4,25) (5,25) 30
(5,25) (4,25) 47
(1,25) t 25
(2,25) t 41
(3,25) t 39
(4,25) t 4
(5,25) t 44
